ident,latitude_deg,longitude_deg,name,continent,iso_country
BIVH,65.55694580078125,-19.428056716918945,Varmahlid Airport,EU,IS
BIVI,63.42169952392578,-18.8882999420166,Vík Airport,EU,IS
BIVM,63.42430114746094,-20.27890014648437,Vestmannaeyjar Airport,EU,IS
BIVO,65.720596,-14.8506,Vopnafjörður Airport,EU,IS
BKPR,42.5728,21.035801,Priština Adem Jashari International Airport,EU,XK
BUTL,34.9697,-91.831173,Smith Field,NA,US
CBBC,52.185001,-128.156994,Bella Bella (Campbell Island) Airport,NA,CA
CRHA,53.822569,-126.172957,Streatham Reef Hueston Airfield,NA,CA
CRML,42.29560089111328,-82.53500366210938,Stoney Point (Le Cunff) Airport,NA,CA
CWJC,61.1333333333,-100.9,Ennadai Lake Airport,NA,CA
CWOB,63.325446,-64.154428,Brevoort Island Airstrip,NA,CA
CYAB,73.006101,-85.04616,Arctic Bay Airport,NA,CA
CYAC,51.7272,-91.824402,Cat Lake Airport,NA,CA
CYAD,53.5717010498,-76.19640350339999,La Grande-3 Airport,NA,CA
CYAG,48.655749,-93.44349,Fort Frances Municipal Airport,NA,CA
CYAH,53.754699707,-73.6753005981,La Grande-4 Airport,NA,CA
CYAL,50.582199,-126.916,Alert Bay Airport,NA,CA
CYAM,46.483216,-84.508467,Sault Ste Marie Airport,NA,CA
CYAQ,53.52470016479492,-88.6427993774414,Kasabonika Airport,NA,CA
CYAS,60.027199,-69.999199,Kangirsuk Airport,NA,CA
CYAT,52.927502,-82.4319,Attawapiskat Airport,NA,CA
CYAU,44.230301,-64.856102,Liverpool South Shore Regional Airport,NA,CA
CYAV,50.0564,-97.032501,Winnipeg / St. Andrews Airport,NA,CA
CYAX,50.294399,-96.010002,Lac du Bonnet Airport,NA,CA
CYAY,51.391909,-56.08321,St. Anthony Airport,NA,CA
CYAZ,49.079833,-125.775583,Tofino / Long Beach Airport,NA,CA
CYBA,51.208222,-115.540624,Banff Airport,NA,CA
CYBB,68.535711,-89.805508,Kugaaruk Airport,NA,CA
CYBC,49.1325,-68.204399,Baie-Comeau Airport,NA,CA
CYBD,52.387501,-126.596001,Bella Coola Airport,NA,CA
CYBE,59.561401,-108.481003,Uranium City Airport,NA,CA
CYBF,54.304199,-110.744003,Bonnyville Airport,NA,CA
CYBG,48.331908,-70.992909,CFB Bagotville / Saguenay-Bagotville Airport,NA,CA
CYBK,64.29889678960001,-96.077796936,Baker Lake Airport,NA,CA
CYBL,49.950802,-125.271004,Campbell River Airport,NA,CA
CYBP,50.633598,-111.926003,Brooks Regional Airport,NA,CA
CYBQ,58.706308,-98.511057,Tadoule Lake Airport,NA,CA
CYBR,49.91,-99.951897,Brandon Municipal Airport,NA,CA
CYBT,57.8894,-101.679001,Brochet Airport,NA,CA
CYBU,53.33250045776367,-104.00800323486328,Nipawin Airport,NA,CA
CYBV,52.358898,-97.018303,Berens River Airport,NA,CA
CYBW,51.1031,-114.374001,Calgary / Springbank Airport,NA,CA
CYBX,51.4436,-57.185299,Lourdes-de-Blanc-Sablon Airport,NA,CA
CYCA,53.682501,-57.042303,Cartwright Airport,NA,CA
CYCB,69.1081008911,-105.138000488,Cambridge Bay Airport,NA,CA
CYCC,45.092637,-74.567724,Cornwall Regional Airport,NA,CA
CYCD,49.05497,-123.869863,Nanaimo Airport,NA,CA
CYCE,43.285599,-81.508301,Centralia / James T. Field Memorial Aerodrome,NA,CA
CYCG,49.296398,-117.632004,Castlegar/West Kootenay Regional Airport,NA,CA
CYCH,47.007801,-65.449203,Miramichi Airport,NA,CA
CYCK,42.3064002991,-82.0819015503,Chatham Kent Airport,NA,CA
CYCL,47.990799,-66.330299,Charlo Airport,NA,CA
CYCN,49.10559844970703,-81.01360321044922,Cochrane Airport,NA,CA
CYCO,67.816408,-115.14307,Kugluktuk Airport,NA,CA
CYCP,52.11669921875,-119.28299713134766,Blue River Airport,NA,CA
CYCQ,55.687198638916016,-121.6269989013672,Chetwynd Airport,NA,CA
CYCR,54.609758,-97.762442,Cross Lake (Charlie Sinclair Memorial) Airport,NA,CA
CYCS,63.346901,-90.731102,Chesterfield Inlet Airport,NA,CA
CYCT,52.0750007629,-111.444999695,Coronation Airport,NA,CA
CYCW,49.153157,-121.939309,Chilliwack Airport,NA,CA
CYCY,70.486099,-68.516701,Clyde River Airport,NA,CA
CYCZ,50.331052,-115.873739,Fairmont Hot Springs Airport,NA,CA
CYDA,64.04309844970703,-139.1280059814453,Dawson City Airport,NA,CA
